,event_date,longitude,latitude,treecover2000
251,2007-10-09 00:00:00,-84.125,9.7789,50
252,2007-10-10 00:00:00,117.7081,32.4792,0
253,2007-10-11 00:00:00,-84.407,9.9869,4
254,2007-10-11 00:00:00,-83.9451,10.0214,95
255,2007-10-12 00:00:00,-77.7405,18.1257,23
256,2007-10-12 00:00:00,-72.4133,18.7335,2
257,2007-10-13 00:00:00,-76.7719,2.9437,90
258,2007-10-14 00:00:00,123.0333,10.3333,0
259,2007-10-14 06:45:00,-118.47,34.3778,0
260,2007-10-15 00:00:00,107.9408,15.6045,99
261,2007-10-15 00:00:00,89.4,22.5333,0
262,2007-10-17 00:00:00,-76.35,17.95,97
263,2007-10-17 00:00:00,124.033,12.75,76
264,2007-10-18 00:00:00,167.9581,-44.7493,90
265,2007-10-18 00:00:00,-122.6717,45.2729,15
266,2007-10-19 00:00:00,91.5327,22.894,0
267,2007-10-19 00:00:00,94.1162,25.4379,59
268,2007-10-19 00:00:00,116.4453,6.043,100
269,2007-10-19 00:00:00,120.5519,16.3183,63
270,2007-10-21 00:00:00,93.4333,24.75,0
271,2007-10-24 00:00:00,-84.7575,10.0715,71
272,2007-10-26 00:00:00,76.6953,11.4046,0
273,2007-10-26 00:00:00,150.4476,-10.3038,6
274,2007-10-26 00:00:00,15.2962,-4.3269,1
275,2007-10-26 01:00:00,98.3071,7.8882,0
276,2007-10-28 00:00:00,124.35,13.7,83
277,2007-10-28 00:00:00,-45.2007,-22.8287,37
278,2007-10-28 00:00:00,-4.823,56.1997,0
279,2007-10-29 00:00:00,123.3667,13.4,0
280,2007-10-29 00:00:00,15.266,-4.276,0
281,2007-10-29 00:00:00,-70.044,18.427,85
282,2007-10-29 00:00:00,-72.3361,18.5146,59
283,2007-10-30 00:00:00,107.966,15.5946,87
284,2007-10-30 00:00:00,77.1236,11.2777,0
285,2007-10-30 00:00:00,-118.4948,35.1368,0
286,2007-10-31 00:00:00,-76.7088,18.037,95
287,2007-10-31 00:00:00,-76.9659,18.2152,97
288,2007-10-31 00:00:00,-92.5534,17.9493,0
289,2007-10-31 00:00:00,-76.6479,17.9384,97
290,2007-11-01 00:00:00,-70.6,19.305,12
291,2007-11-02 00:00:00,-121.9383,45.6706,45
292,2007-11-03 00:00:00,-157.829,21.3131,89
293,2007-11-04 00:00:00,-93.306,17.39,15
294,2007-11-04 00:00:00,124.3807,13.7143,0
295,2007-11-04 00:00:00,120.6101,16.3748,72
296,2007-11-05 00:00:00,108.4852,15.234,97
297,2007-11-06 00:00:00,103.685,35.978,10
298,2007-11-06 00:00:00,80.4119,6.1454,45
299,2007-11-09 00:00:00,108.2167,15.3333,52
300,2007-11-10 15:20:00,108.903,34.1622,0
301,2007-11-12 00:00:00,-77.2,18.4,71
302,2007-11-13 00:00:00,-121.5386,46.8677,100
303,2007-11-13 22:00:00,125.5245,11.1719,0
304,2007-11-14 02:00:00,146.392,-38.1718,0
305,2007-11-17 00:00:00,-60.6312,11.2965,93
306,2007-11-18 00:00:00,21.65,37.4833,0
