event_date,longitude,latitude,landslide_size
2007-12-03 00:00:00,-122.3406,47.6373,medium
2007-12-03 00:00:00,-123.1628,47.3434,medium
2007-12-03 10:00:00,-123.1341,49.3,small
2007-12-04 17:30:00,-123.8673,43.6768,medium
2007-12-05 00:00:00,107.4435,-6.7883,medium
2007-12-05 00:00:00,-122.416,47.645,small
2007-12-07 14:30:00,-158.121,21.462,small
2007-12-08 00:00:00,-84.822,39.101,medium
2007-12-08 00:00:00,-122.2039,47.4728,small
2007-12-11 00:00:00,38.235,-3.571,medium
2007-12-11 00:00:00,-60.566,11.267,small
2007-12-11 00:00:00,-60.644,11.3,medium
2007-12-11 00:00:00,-70.707,19.455,medium
2007-12-11 12:00:00,-123.336,46.1049,large
2007-12-12 00:00:00,-66.051,18.432,medium
2007-12-12 00:00:00,-123.204,46.103,medium
2007-12-16 00:00:00,-79.7569,40.3875,medium
2007-12-19 00:00:00,-74.7631,4.847,large
2007-12-24 00:00:00,81.0473,6.9935,medium
2007-12-26 00:00:00,111.1835,-7.6511,large
2007-12-26 00:00:00,109.547,-7.6213,large
2007-12-31 00:00:00,111.1167,-7.6667,medium
2008-01-01 00:00:00,-79.732,40.3916,small
2008-01-03 00:00:00,125.1251,10.1831,medium
2008-01-03 00:00:00,106.5458,29.5524,small
2008-01-03 00:00:00,125.2172,10.0374,medium
2008-01-03 00:00:00,114.4396,4.6401,small
2008-01-04 00:00:00,105.9,20.5667,medium
2008-01-06 00:00:00,-117.207,32.8008,small
2008-01-06 00:00:00,112.6278,-7.972,medium
2008-01-06 00:00:00,-123.8405,44.0302,small
2008-01-06 00:00:00,73.4538,34.3932,medium
2008-01-07 00:00:00,75.1923,33.4341,medium
2008-01-07 00:00:00,-117.3042,33.0643,medium
2008-01-07 00:00:00,-116.9016,32.5755,medium
2008-01-10 00:00:00,-122.3829,44.8268,medium
2008-01-13 00:00:00,117.1703,40.0074,large
2008-01-14 00:00:00,125.5583,7.0932,medium
2008-01-15 00:00:00,-4.2571,55.8657,medium
2008-01-15 00:00:00,55.652,25.5768,medium
2008-01-15 00:00:00,140.7058,-2.5338,large
2008-01-16 02:00:00,126.0367,7.8253,medium
2008-01-16 17:30:00,101.3941,4.4606,medium
2008-01-19 00:00:00,138.4333,36.3167,medium
2008-01-19 00:00:00,-122.3985,43.7548,medium
2008-01-22 00:00:00,-2.2389,53.792,medium
2008-01-24 00:00:00,-2.3939,51.5392,medium
2008-01-28 19:30:00,-117.2619,32.8464,medium
2008-01-31 00:00:00,-123.679,44.0302,medium
2008-01-31 23:30:00,125.5986,7.8339,medium
2008-02-03 00:00:00,67.3833,29.7,medium
2008-02-03 00:00:00,-43.1314,-22.3758,medium
2008-02-03 00:00:00,153.2298,-28.0667,medium
2008-02-05 00:00:00,-79.8965,40.1833,medium
2008-02-05 00:00:00,106.2839,-6.4978,medium
2008-02-06 00:00:00,109.0338,-6.8644,medium
2008-02-08 00:00:00,77.6092,12.9752,medium
2008-02-09 00:00:00,-79.9458,40.4934,small
2008-02-11 00:00:00,-121.086,47.7463,medium
2008-02-13 00:00:00,76.7937,11.3484,medium
2008-02-15 00:00:00,110.8667,-6.7333,medium
2008-02-16 00:00:00,-122.4936,37.6475,medium
2008-02-17 00:00:00,125.4357,12.0478,medium
2008-02-19 00:00:00,124.3101,13.8701,medium
2008-02-19 00:00:00,35.7834,33.8122,medium
2008-02-20 00:00:00,108.701,14.9923,medium
2008-02-23 00:00:00,125.8992,7.1633,medium
2008-02-23 00:00:00,173.7463,-35.047,small
2008-02-24 00:00:00,109.0217,32.6751,medium
2008-02-25 00:00:00,121.0922,14.6394,small
2008-02-28 00:00:00,-77.8928,-0.4635,medium
2008-03-04 00:00:00,-79.9321,40.4278,medium
2008-03-05 00:00:00,145.7231,-16.9135,small
2008-03-05 00:00:00,-76.1311,-9.2114,medium
2008-03-05 00:00:00,145.6331,-16.8164,small
2008-03-06 00:00:00,-118.4309,34.0312,small
2008-03-07 00:00:00,122.9747,10.7349,medium
2008-03-09 00:00:00,-73.6385,42.7404,small
2008-03-10 00:00:00,-79.7822,40.4041,small
2008-03-13 00:00:00,101.4173,-2.233,medium
2008-03-14 00:00:00,-80.613,40.4634,small
2008-03-16 00:00:00,-84.2992,39.096,small
2008-03-20 23:00:00,125.4616,6.5309,medium
2008-03-22 00:00:00,108.45,21.85,large
2008-03-24 00:00:00,-80.707,40.5573,small
2008-03-26 00:00:00,6.1628,62.4746,medium
2008-03-28 00:00:00,-84.5657,39.1072,small
2008-04-01 00:00:00,-90.4312,38.9716,medium
2008-04-01 00:00:00,-78.5347,-0.2196,medium
2008-04-05 00:00:00,74.9985,33.9337,medium
2008-04-05 00:00:00,73.1879,34.6861,medium
2008-04-08 00:00:00,-80.0726,40.5531,small
2008-04-09 00:00:00,144.9642,-6.0377,large
2008-04-11 00:00:00,-90.857,43.6516,medium
2008-04-11 00:00:00,-77.6613,-9.2965,medium
2008-04-13 00:00:00,-106.4879,39.625,small
2008-04-16 00:00:00,100.4322,-0.9672,medium
2008-04-16 00:00:00,-77.1007,18.4054,medium
2008-04-19 00:00:00,13.4343,54.417,medium
2008-04-19 00:00:00,110.85,31.1667,large
2008-04-20 00:00:00,178.4367,-17.9665,small
2008-04-20 00:00:00,114.0684,22.5777,medium
2008-04-23 07:30:00,101.7673,3.185,medium
2008-04-25 00:00:00,-91.6396,44.0344,small
2008-04-27 00:00:00,80.1744,6.7397,medium
2008-04-28 00:00:00,80.3643,6.9634,medium
2008-04-29 00:00:00,-71.6923,44.4175,small
2008-04-29 00:00:00,-72.0358,43.3207,small
2008-04-29 00:00:00,-117.8532,50.3162,small
2008-05-01 00:00:00,80.0317,7.1907,medium
2008-05-02 00:00:00,123.8827,10.4014,medium
2008-05-02 03:00:00,9.2307,61.9934,medium
2008-05-05 00:00:00,23.3981,43.0797,medium
2008-05-05 00:00:00,74.9845,33.9513,medium
2008-05-05 00:00:00,136.0438,-4.4032,medium
2008-05-06 00:00:00,-2.9383,50.729,medium
2008-05-07 00:00:00,123.7183,10.5339,medium
2008-05-09 00:00:00,106.4167,23.1333,medium
2008-05-09 00:00:00,175.2362,-41.5877,medium
2008-05-09 00:00:00,-79.7199,36.6619,small
2008-05-11 05:45:00,-76.9216,38.8162,medium
2008-05-12 00:00:00,-81.2584,38.1362,small
2008-05-13 00:00:00,123.26,9.2903,medium
2008-05-14 00:00:00,123.2211,9.2404,medium
2008-05-17 00:00:00,-116.9875,51.3336,small
2008-05-17 00:00:00,120.6769,16.3639,medium
2008-05-17 00:00:00,103.4823163,31.06891436,large
2008-05-17 00:00:00,122.4742,11.0551,medium
2008-05-18 00:00:00,120.832,16.4956,medium
2008-05-18 00:00:00,120.7967,16.7489,medium
2008-05-18 00:00:00,-117.4619,49.7701,small
2008-05-19 00:00:00,112.5827,-7.0678,medium
2008-05-20 00:00:00,-84.5289,39.0447,small
2008-05-20 00:00:00,178.3623,-18.0903,medium
2008-05-21 00:00:00,-122.197,47.5023,small
