event_date,longitude,latitude,temp
2007-09-02 00:00:00,81.6018,29.184,27.8
2007-09-05 00:00:00,-114.4194,43.6846,10.4
2007-09-06 00:00:00,-106.8295,40.4613,12.3
2007-09-07 00:00:00,138.85,37.03,24.4
2007-09-07 00:00:00,35.4667,1.4833,18.1
2007-09-07 00:00:00,73.8362,15.5063,27.1
2007-09-08 00:00:00,93.9877,25.0604,22.8
2007-09-08 00:00:00,99.0333,23.9,22.7
2007-09-09 00:00:00,-84.1167,10.0,21.2
2007-09-09 00:00:00,-61.3642,15.3055,27.7
2007-09-10 00:00:00,90.9733,23.8917,26.9
2007-09-10 00:00:00,88.6236,27.3425,8.0
2007-09-10 00:00:00,94.0691,24.2451,24.8
2007-09-11 00:00:00,122.2,11.0333,27.2
2007-09-11 00:00:00,91.27,25.52,28.5
2007-09-11 00:00:00,94.0564,24.4279,25.6
2007-09-12 00:00:00,87.2167,27.3667,23.0
2007-09-13 00:00:00,91.8,26.1833,28.8
2007-09-15 00:00:00,98.2559,8.5695,25.9
2007-09-17 00:00:00,-107.5798,39.5542,14.8
2007-09-17 00:00:00,123.1706,9.9242,27.7
2007-09-18 00:00:00,15.0836,46.4719,14.5
2007-09-19 00:00:00,120.9413,28.1214,22.7
2007-09-19 00:00:00,29.583,-1.783,20.6
2007-09-20 00:00:00,126.0353778,7.364469237,28.4
2007-09-20 00:00:00,100.1589,18.1578,26.3
2007-09-20 00:00:00,122.6167,10.6,25.7
2007-09-22 00:00:00,-90.5316,14.6229,19.2
2007-09-22 00:00:00,-118.2974,34.1364,16.5
2007-09-23 00:00:00,83.9462,21.464,24.8
2007-09-24 00:00:00,169.1339,-44.3025,12.6
2007-09-28 00:00:00,-97.9,20.2,19.3
2007-09-29 00:00:00,121.1167,16.8333,17.9
2007-09-29 00:00:00,83.4833,27.8667,23.2
2007-10-02 00:00:00,120.864,14.889,25.3
2007-10-03 00:00:00,116.5956,5.9975,28.9
2007-10-05 00:00:00,121.4833,25.1167,27.4
2007-10-05 00:00:00,121.55,25.15,27.4
2007-10-05 00:00:00,103.9,21.3167,22.3
2007-10-05 00:00:00,105.35,20.04,25.7
2007-10-08 00:00:00,120.4216,28.1292,21.8
2007-10-09 00:00:00,-84.125,9.7789,20.1
2007-10-10 00:00:00,117.7081,32.4792,17.9
