event_date,longitude,latitude,humidity
2008-01-01 00:00:00,-79.732,40.3916,70.11
2008-01-03 00:00:00,125.1251,10.1831,98.28
2008-01-03 00:00:00,106.5458,29.5524,83.87
2008-01-03 00:00:00,125.2172,10.0374,98.04
2008-01-03 00:00:00,114.4396,4.6401,88.07
2008-01-04 00:00:00,105.9,20.5667,69.77
2008-01-06 00:00:00,-117.207,32.8008,86.89
2008-01-06 00:00:00,112.6278,-7.972,73.86
2008-01-06 00:00:00,-123.8405,44.0302,84.85
2008-01-06 00:00:00,73.4538,34.3932,93.45
2008-01-07 00:00:00,75.1923,33.4341,89.59
2008-01-07 00:00:00,-117.3042,33.0643,82.79
2008-01-07 00:00:00,-116.9016,32.5755,85.96
2008-01-10 00:00:00,-122.3829,44.8268,86.45
2008-01-13 00:00:00,117.1703,40.0074,25.42
2008-01-14 00:00:00,125.5583,7.0932,87.88
2008-01-15 00:00:00,-4.2571,55.8657,92.12
2008-01-15 00:00:00,55.652,25.5768,92.12
2008-01-15 00:00:00,140.7058,-2.5338,86.04
2008-01-16 02:00:00,126.0367,7.8253,89.29
2008-01-16 17:30:00,101.3941,4.4606,76.55
2008-01-19 00:00:00,138.4333,36.3167,73.72
2008-01-19 00:00:00,-122.3985,43.7548,93.39
2008-01-22 00:00:00,-2.2389,53.792,89.25
2008-01-24 00:00:00,-2.3939,51.5392,77.74
2008-01-28 19:30:00,-117.2619,32.8464,80.62
2008-01-31 00:00:00,-123.679,44.0302,86.76
2008-01-31 23:30:00,125.5986,7.8339,80.43
2008-02-03 00:00:00,67.3833,29.7,63.79
2008-02-03 00:00:00,-43.1314,-22.3758,89.95
2008-02-03 00:00:00,153.2298,-28.0667,89.68
2008-02-05 00:00:00,-79.8965,40.1833,91.43
2008-02-05 00:00:00,106.2839,-6.4978,87.2
2008-02-06 00:00:00,109.0338,-6.8644,88.78
2008-02-08 00:00:00,77.6092,12.9752,69.22
2008-02-09 00:00:00,-79.9458,40.4934,69.16
2008-02-11 00:00:00,-121.086,47.7463,84.28
2008-02-13 00:00:00,76.7937,11.3484,70.18
2008-02-15 00:00:00,110.8667,-6.7333,82.73
2008-02-16 00:00:00,-122.4936,37.6475,80.41
2008-02-17 00:00:00,125.4357,12.0478,94.89
2008-02-19 00:00:00,124.3101,13.8701,88.46
2008-02-19 00:00:00,35.7834,33.8122,68.75
2008-02-20 00:00:00,108.701,14.9923,82.89
2008-02-23 00:00:00,125.8992,7.1633,81.8
2008-02-23 00:00:00,173.7463,-35.047,95.9
2008-02-24 00:00:00,109.0217,32.6751,69.83
2008-02-25 00:00:00,121.0922,14.6394,77.43
2008-02-28 00:00:00,-77.8928,-0.4635,84.16
2008-03-04 00:00:00,-79.9321,40.4278,90.36
2008-03-05 00:00:00,145.7231,-16.9135,87.77
2008-03-05 00:00:00,-76.1311,-9.2114,73.57
2008-03-05 00:00:00,145.6331,-16.8164,87.72
2008-03-06 00:00:00,-118.4309,34.0312,58.83
2008-03-07 00:00:00,122.9747,10.7349,84.6
2008-03-09 00:00:00,-73.6385,42.7404,51.14
2008-03-10 00:00:00,-79.7822,40.4041,78.71
2008-03-13 00:00:00,101.4173,-2.233,92.17
2008-03-14 00:00:00,-80.613,40.4634,76.66
2008-03-16 00:00:00,-84.2992,39.096,67.66
2008-03-20 23:00:00,125.4616,6.5309,88.73
2008-03-22 00:00:00,108.45,21.85,77.41
2008-03-24 00:00:00,-80.707,40.5573,59.91
2008-03-26 00:00:00,6.1628,62.4746,59.21
2008-03-28 00:00:00,-84.5657,39.1072,77.75
2008-04-01 00:00:00,-90.4312,38.9716,65.57
2008-04-01 00:00:00,-78.5347,-0.2196,87.7
2008-04-05 00:00:00,74.9985,33.9337,77.83
2008-04-05 00:00:00,73.1879,34.6861,94.11
2008-04-08 00:00:00,-80.0726,40.5531,61.33
2008-04-09 00:00:00,144.9642,-6.0377,70.17
2008-04-11 00:00:00,-90.857,43.6516,88.79
2008-04-11 00:00:00,-77.6613,-9.2965,56.81
2008-04-13 00:00:00,-106.4879,39.625,59.32
2008-04-16 00:00:00,100.4322,-0.9672,82.02
2008-04-16 00:00:00,-77.1007,18.4054,68.98
2008-04-19 00:00:00,13.4343,54.417,85.89
2008-04-19 00:00:00,110.85,31.1667,93.43
2008-04-20 00:00:00,178.4367,-17.9665,89.75
2008-04-20 00:00:00,114.0684,22.5777,80.71
2008-04-23 07:30:00,101.7673,3.185,81.38
2008-04-25 00:00:00,-91.6396,44.0344,84.99
2008-04-27 00:00:00,80.1744,6.7397,87.3
2008-04-28 00:00:00,80.3643,6.9634,86.36
2008-04-29 00:00:00,-71.6923,44.4175,93.17
2008-04-29 00:00:00,-72.0358,43.3207,86.31
2008-04-29 00:00:00,-117.8532,50.3162,77.43
2008-05-01 00:00:00,80.0317,7.1907,77.52
2008-05-02 00:00:00,123.8827,10.4014,84.21
2008-05-02 03:00:00,9.2307,61.9934,85.67
2008-05-05 00:00:00,23.3981,43.0797,76.69
2008-05-05 00:00:00,74.9845,33.9513,77.89
2008-05-05 00:00:00,136.0438,-4.4032,90.59
2008-05-06 00:00:00,-2.9383,50.729,69.59
2008-05-07 00:00:00,123.7183,10.5339,82.2
2008-05-09 00:00:00,106.4167,23.1333,81.61
2008-05-09 00:00:00,175.2362,-41.5877,86.38
